	"ALL_1"	"ALL_2"	"ALL_3"	"ALL_4"	"ALL_5"	"ALL_6"	"ALL_7"	"ALL_8"	"ALL_9"	"ALL_10"	"ALL_11"	"ALL_12"	"ALL_13"	"ALL_14"	"ALL_15"	"ALL_16"	"ALL_17"	"ALL_18"	"ALL_19"	"ALL_20"	"ALL_21"	"ALL_22"	"ALL_23"	"ALL_24"	"MLL__1"	"MLL__2"	"MLL__3"	"MLL__4"	"MLL__5"	"MLL__6"	"MLL__7"	"MLL__8"	"MLL_9"	"MLL_10"	"MLL_11"	"MLL_12"	"MLL_13"	"MLL_14"	"MLL_15"	"MLL_16"	"MLL_17"	"MLL_18"	"MLL_19"	"MLL_20"	"AML_1"	"AML_2"	"AML_3"	"AML_4"	"AML_5"	"AML_6"	"AML_7"	"AML_8"	"AML_9"	"AML_10"	"AML_11"	"AML_12"	"AML_13"	"AML_14"	"AML_15"	"AML_16"	"AML_17"	"AML_18"	"AML_19"	"AML_20"	"AML_21"	"AML_22"	"AML_23"	"AML_24"	"AML_25"	"AML_26"	"AML_27"	"AML_28"
"32264_at"	10	10	10	10	10	10	10	344	10	10	10	10	10	10	10	10	10	10	10	61	64	578	10	10	10	10	10	10	10	10	10	10	79	10	10	10	10	10	10	10	10	10	458	10	603	10	2289	31	1289	10	10	10	271	10	10	10	10	10	10	10	10	10	10	10	10	68	35	51	10	10	10	10
"32287_s_at"	10	105	76	10	77	264	180	752	353	132	59	10	1340	71	71	21	10	90	287	126	84	1423	152	15	341	875	74	2143	337	63	10	311	330	229	11	294	10	510	221	213	21	189	653	99	275	10	14452	10	1443	28	10	10	10	10	40	10	316	121	10	181	10	10	10	10	10	10	10	2503	31	421	155	10
"32303_at"	159.8	10	255	10	304	190	83	10	188	10	606	10	55	27	10	10	10	10	31	10	10	10	320	194	10	257	57	188	225	10	10	10	261	679	10	10	115	60	32	47	10	640	79	641	10	10	118	10	10	10	10	360	50	312	10	10	10	10	10	10	10	262	364	10	10	10	256	13	10	10	215	24
"32312_at"	76.3	24	10	83	503	32	547	10	617	10	439	96	164	2231	10	232	10	10	50	10	10	227	10	10	10	223	88	10	10	10	10	167	325	10	10	10	10	123	10	167	10	204	116	440	10	10	10	10	10	10	10	10	10	10	10	192	10	10	10	10	10	10	10	10	10	10	16	145	10	10	10	10
"32313_at"	245	67	10	361	354	108	2450	45	635	640	1327	243	10	6556	10	114	10	10	10	226	10	870	10	11	67	1735	10	10	10	10	10	10	923	10	10	10	10	10	12	1191	10	913	736	1433	10	10	10	10	10	10	10	10	10	498	10	10	721	10	10	10	10	317	457	10	10	10	10	10	10	10	10	10
"32331_at"	96	10	10	10	85	62	192	64	24	494	10	10	10	46	70	97	10	10	79	148	438	35	141	13	10	10	10	10	10	10	10	28	10	10	10	23	10	10	10	10	395	10	10	203	714	139	246	797	10	10	665	10	10	235	446	1210	10	698	10	359	792	676	437	312	10	361	119	10	103	496	70	10
"32339_at"	182.5	10	10	10	142	10	92	658	146	193	131	259	901	60	10	10	10	10	192	10	131	392	49	10	10	10	150	10	10	10	10	96	10	76	10	206	10	10	10	400	10	10	250	10	764	254	588	10	164	10	188	10	313	10	10	461	93	185	451	95	536	10	191	10	10	752	744	1001	287	355	43	10
"32362_r_at"	236.2	10	49	10	10	10	10	10	10	262	10	10	447	10	58	10	577	10	10	214	10	10	10	10	10	10	497	10	10	10	10	10	10	429	10	291	342	10	348	10	400	10	10	19	1067	10	308	10	10	561	40	10	10	296	10	114	1281	10	481	1278	1843	604	1317	896	10	1454	695	1557	10	723	778	10
"32870_g_at"	10	390	10	208	335	165	225	60	339	539	10	245	10	59	775	588	141	265	375	102	302	19	46	84	283	44	89	178	138	243	303	262	10	10	281	230	250	10	10	21	680	114	93	543	22	10	10	10	10	10	10	10	215	10	465	10	10	10	10	10	10	214	10	34	10	10	10	10	10	10	122	10
"32887_at"	218.1	558	10	10	44	170	380	327	435	209	380	10	10	286	10	195	10	171	10	10	10	61	345	74	101	125	10	10	10	64	10	142	165	10	10	10	10	64	10	10	10	10	122	79	10	10	10	10	10	10	10	29	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	24	10	10	10
"32893_s_at"	10	10	10	214	10	508	10	10	177	598	10	413	10	661	10	232	159	358	472	334	10	10	687	465	10	10	10	10	10	10	10	148	387	10	603	10	10	225	10	10	3931	37	397	10	10	121	10	1242	10	10	3612	795	281	937	420	184	1215	3702	69	1749	10	10	2717	2284	2417	433	577	10	273	10	1802	547
"32898_at"	10	103	10	10	179	284	10	79	10	244	210	10	10	10	152	10	10	10	10	10	10	68	289	25	138	10	186	182	10	36	348	193	54	448	10	353	10	106	10	162	683	280	429	10	423	245	419	194	10	10	604	127	59	433	153	314	10	269	256	295	10	312	10	10	10	448	10	356	59	10	10	10
"32900_at"	10	10	64	367	10	10	63	10	10	10	10	10	10	10	339	186	10	10	10	10	49	10	149	10	34	10	10	10	10	10	10	10	18	10	170	10	10	268	10	10	10	10	10	10	10	10	10	195	421	548	294	316	10	10	10	10	10	10	10	10	10	428	10	10	669	10	10	10	10	10	10	22
"32904_at"	10	343	286	10	10	709	10	550	505	10	10	10	4066	1077	337	10	10	68	10	1522	10	3371	311	10	10	17	10	218	10	10	10	430	10	1870	10	293	10	785	10	10	10	1219	3497	10	10	10	9480	1057	869	10	10	1192	648	1159	782	772	1021	1154	10	897	362	90	774	488	174	10	10	10	1196	756	1233	651
"32905_s_at"	10	10	10	10	10	10	10	10	10	343	10	10	10	10	10	20	10	42	174	10	160	10	10	10	10	10	10	94	10	76	272	10	182	10	51	10	149	271	315	288	10	10	10	10	495	1428	712	10	10	10	10	10	575	1879	10	6672	12892	10	11613	10	8867	1102	1021	117	533	11059	4818	4142	2698	16000	26	16000
"32908_at"	53.6	10	65	45	10	10	36	10	10	10	10	10	10	27	42	10	10	10	10	41	10	10	60	10	68	88	155	39	10	82	85	10	10	226	226	10	118	74	10	173	371	10	29	10	63	309	571	10	10	10	193	124	10	10	10	296	120	111	10	10	10	169	43	10	10	24	290	10	255	10	296	10
"32929_at"	10	225	10	10	369	110	10	79	10	258	118	10	10	89	232	10	50	177	10	10	315	16	264	10	198	87	383	10	107	181	211	10	74	231	353	10	10	10	262	10	10	95	136	10	10	38	10	10	10	69	10	10	350	10	10	10	10	73	10	28	10	10	10	10	268	10	10	10	10	10	10	10
"32933_r_at"	1420.9	316	1769	73	33	310	1057	10	10	301	10	10	301	10	10	10	10	10	10	10	1554	10	1604	1216	1559	1423	476	627	10	1741	1681	1442	539	10	1465	10	10	10	1366	403	10	10	10	10	10	10	10	10	98	124	166	10	10	10	10	10	10	10	10	10	1020	2317	10	10	10	10	10	10	2080	10	2478	10
"32942_at"	10	27	10	10	10	10	10	10	10	320	137	323	384	27	10	10	10	10	70	10	10	10	10	10	10	10	10	196	98	10	10	44	10	46	10	10	10	10	10	10	10	332	49	52	10	10	151	150	101	10	10	156	283	135	99	10	73	10	350	318	509	10	10	10	86	10	54	10	151	243	10	10
"32969_r_at"	10	27	10	10	620	10	10	10	10	635	262	10	10	332	10	10	588	10	10	10	10	10	10	10	10	110	316	788	10	198	10	10	10	665	10	10	317	10	10	760	846	265	348	272	10	10	10	374	10	10	10	79	364	884	772	681	1329	1007	10	827	10	10	455	931	10	83	10	10	919	991	495	10
"32978_g_at"	58.1	331	509	10	667	10	235	10	10	10	226	10	1398	10	10	10	10	50	10	10	620	326	681	10	10	10	10	98	10	10	10	10	10	348	10	10	10	10	10	10	1713	109	740	10	10	10	500	10	714	612	10	148	10	10	10	10	10	10	107	10	10	62	48	10	261	10	10	10	352	10	10	10
"32979_at"	798.7	1067	140	327	1507	630	1654	573	158	83	402	240	648	531	10	997	119	171	862	201	638	146	1122	187	170	138	15	10	10	57	22	47	91	183	10	10	188	10	10	10	10	10	10	322	68	10	10	10	10	10	10	10	108	10	254	46	10	10	10	10	10	10	66	10	10	229	33	22	10	10	10	10
"33462_at"	308.1	149	556	1086	10	456	2214	390	128	2194	9395	908	197	10	10	1823	45	306	1647	82	281	87	24	356	665	1206	10	89	10	10	10	10	10	10	45	10	10	58	53	10	19	10	581	10	10	10	10	10	10	10	41	28	51	99	10	18	10	10	42	233	10	10	253	10	10	10	21	10	663	180	10	39
"33512_at"	104.2	161	10	10	67	10	23	10	10	500	313	139	10	42	10	105	10	508	220	10	233	127	10	10	10	10	141	10	10	10	10	10	46	670	195	662	10	464	10	761	10	473	99	103	474	10	671	10	10	10	10	294	458	10	531	387	108	713	10	10	259	10	10	10	10	258	972	10	42	10	73	10
"33546_at"	61.7	110	10	10	10	165	28	203	167	299	207	58	31	96	10	10	173	135	210	10	359	55	10	46	129	10	158	10	10	10	10	156	10	138	10	175	274	10	10	322	10	10	10	166	122	213	44	10	10	10	125	168	100	16	10	191	899	438	10	284	10	30	1250	10	619	408	10	365	92	10	281	10
"33962_at"	10	50	75	10	115	10	10	10	10	10	10	42	10	42	10	10	10	10	10	299	10	10	10	10	144	10	10	10	10	10	10	133	10	58	42	304	10	34	10	10	10	10	10	10	327	360	201	10	10	10	289	50	10	281	10	10	10	672	10	907	63	10	30	10	16	337	249	10	233	873	264	138
"33963_at"	10	10	10	10	10	10	10	10	10	10	2514	401	1020	10	10	10	10	10	18	10	1409	10	10	10	290	10	10	10	454	10	16000	10	10	641	10	10	10	10	10	10	16000	10	10	10	441	16000	3502	16000	10	10	16000	12147	16000	10	10	11204	10	16000	10	16000	8614	16000	16000	16000	9037	16000	16000	4720	1763	8890	16000	6414
"33978_at"	157.7	10	10	56	86	10	72	38	222	10	10	108	353	156	65	10	332	48	280	10	10	1084	69	10	10	10	196	57	10	245	199	10	10	10	10	439	179	31	10	160	10	10	451	257	10	10	10	10	10	10	10	10	10	10	10	10	120	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"33979_at"	10	23	87	10	160	125	10	71	39	187	1894	858	799	194	10	15	152	154	117	44	3332	10	76	43	1478	398	363	59	5676	696	4819	610	60	4746	1358	148	10511	394	1078	938	4551	455	398	841	577	16000	16000	821	76	278	2228	2840	6115	446	49	16000	211	992	10	3525	825	3041	1201	2049	2331	1734	3667	46	530	1003	10108	10
"34000_r_at"	421.5	557	13	306	110	798	1025	744	1048	109	1349	716	88	2821	959	414	149	152	131	188	330	929	520	257	25	28	308	10	53	80	274	10	63	122	50	576	146	700	34	261	10	438	48	252	10	29	10	10	33	10	10	10	10	78	412	10	10	108	23	89	10	10	14	10	10	85	19	14	10	10	90	10
"34017_s_at"	109.7	10	10	10	627	10	10	10	10	10	10	10	10	10	10	10	10	10	10	637	10	10	10	10	10	10	151	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	113	10	43	10	267	618	10	10	192	322	10	32	479	10	425	627	525	619	1094	109	10	10	86	280	10	10	392	299
"34023_at"	10	10	10	10	10	10	10	10	10	20	10	10	109	10	10	10	10	10	10	28	10	10	10	10	10	10	10	10	10	10	251	61	27	10	58	10	26	29	10	10	10	10	3659	10	45	446	314	10	324	116	10	13	163	361	10	1379	811	78	212	10	88	130	353	10	501	153	10	10	3367	877	10	13
"34030_at"	10	10	10	10	10	10	10	145	10	1305	10	309	10	10	10	195	318	10	10	10	451	10	10	10	637	10	10	10	236	10	10	10	10	291	10	10	10	10	10	10	314	10	10	10	10	50	10	186	10	10	10	10	70	10	10	567	10	104	211	10	117	10	10	10	2223	10	10	10	10	10	2273	10
"34032_at"	357	388	241	10	370	382	354	485	10	10	10	269	10	535	10	10	10	10	455	374	387	10	269	169	151	10	10	10	10	10	456	10	10	412	187	172	10	10	10	10	10	195	10	10	298	106	10	10	184	10	10	10	10	10	10	10	10	10	10	414	10	442	10	10	10	10	583	10	10	10	430	626
"34430_at"	10	977	10	10	10	10	10	842	10	10	40	10	808	79	1122	10	894	10	10	10	40	10	10	10	376	613	667	243	10	10	10	18	265	10	153	69	752	10	929	314	1692	717	584	302	140	656	627	38	10	10	10	10	259	10	431	155	391	1036	884	875	358	676	257	303	11	393	1134	493	509	10	1144	10
"34432_at"	10	185	10	10	10	10	10	10	562	10	10	10	10	10	10	10	10	10	10	10	10	10	127	10	10	10	10	1321	10	10	10	10	121	131	10	10	10	10	10	10	10	10	10	10	10	431	10	10	10	10	10	10	10	10	694	358	771	10	10	10	67	10	316	10	10	10	10	10	420	10	10	10
"34459_at"	78.5	55	10	10	93	57	111	10	249	235	133	10	159	14	10	302	10	136	114	106	260	413	12	220	188	159	61	124	24	69	22	284	189	899	10	10	10	239	10	10	1288	423	10	165	10	181	103	10	10	10	10	1033	10	205	10	10	10	10	10	10	10	10	157	10	10	10	10	10	10	10	10	10
"34466_at"	122.4	241	10	10	10	10	88	414	154	161	10	10	365	565	10	10	10	16	33	728	10	10	10	10	10	10	230	10	42	10	10	371	318	10	10	23	454	689	446	1261	853	204	10	276	128	10	384	10	10	10	10	501	279	10	186	274	260	54	215	515	10	191	1383	10	316	894	393	10	342	417	10	516
"34476_r_at"	10	10	10	10	10	10	10	10	15	10	12	34	10	10	10	10	20	21	10	10	45	28	10	26	10	10	10	10	69	10	10	51	10	10	10	10	17	10	10	10	10	10	10	10	50	999	10	10	319	31	3005	1918	414	10	10	2517	10	28	10	10	4483	10	147	1090	41	1246	1917	313	10	10	10	24
"34496_at"	10	427	189	10	10	12	10	10	87	619	10	46	10	352	10	10	537	260	378	10	10	813	10	149	10	69	10	10	10	10	10	10	192	10	10	10	365	10	10	1103	10	58	10	10	10	280	10	10	10	254	10	10	407	897	357	10	863	619	10	10	909	10	1692	10	10	286	150	234	304	552	10	630
"34498_at"	10	10	10	332	10	10	10	15	10	1009	14	401	808	10	10	210	199	40	91	250	10	263	11	10	745	69	10	80	100	92	401	652	251	222	132	10	158	439	10	10	10	10	640	525	10	77	103	10	10	10	10	10	10	10	10	186	10	10	10	10	10	10	10	1040	2174	10	10	10	350	10	146	10
"34502_g_at"	10	10	10	10	10	10	10	10	10	10	10	10	690	10	10	10	194	187	10	131	275	91	10	10	10	10	204	388	265	10	214	10	77	137	10	365	560	10	10	308	10	10	10	10	10	10	10	10	61	131	10	10	10	10	391	10	10	10	10	10	214	10	217	10	10	445	10	587	10	10	10	10
"34511_s_at"	10	632	41	1241	10	973	10	219	21	388	394	1009	10	292	349	567	1877	595	335	10	527	10	10	2430	472	179	10	10	950	183	10	148	486	15	1133	10	10	1390	10	612	10	10	10	213	10	10	10	10	227	10	10	10	10	292	10	10	228	10	10	10	421	70	177	10	129	10	10	454	106	10	10	573
"34525_at"	10	10	10	10	10	16000	1912	12337	627	10	10	10	10	10	1329	10	941	3428	169	12628	10	10	10	4230	10	10	10	10	10	10	10	10	10	10	10	10	646	10	10	10	10	10	10	93	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1928	10	10	10	10	10	10	10	10	10	10	10
"34898_at"	75.1	10	59	10	10	10	10	10	10	10	10	10	10	10	10	81	396	10	10	244	10	10	10	10	88	46	10	10	720	10	71	10	82	10	102	10	277	7996	827	10	875	1624	10	10	8732	10	940	10	56	349	55	10	10	19	10	108	10752	130	375	10	16000	105	1203	10	1889	16000	611	3849	10	3105	10	10
"34904_at"	229.4	10	109	10	583	117	10	14	69	10	165	34	10	241	10	10	10	74	10	10	23	125	123	10	78	142	10	56	64	10	41	48	10	222	10	10	10	18	10	63	217	10	109	98	228	10	308	323	10	10	10	10	246	474	10	254	1066	134	124	217	10	10	1129	10	177	500	128	418	137	21	428	448
"34913_at"	209.6	106	91	10	226	10	10	229	10	109	109	10	183	315	10	10	179	10	10	10	10	283	23	37	10	10	255	110	10	10	88	10	97	175	10	110	10	85	175	392	443	204	157	163	10	186	48	10	12	10	233	71	10	10	10	255	256	214	10	323	10	10	10	10	10	91	90	10	169	10	10	10
"34916_s_at"	10	10	10	10	10	75	39	10	85	10	10	10	10	21	10	10	68	50	10	54	32	316	128	10	10	10	10	910	10	10	10	10	10	146	43	10	10	10	346	10	10	164	44	26	10	10	33	10	10	198	302	10	10	803	10	10	181	10	92	33	194	551	791	10	10	293	243	16	10	10	10	10
"34934_at"	144	692	10	201	1808	381	1135	256	593	80	847	730	1108	368	899	937	71	207	1067	1110	544	489	724	10	10	10	16	17	10	84	151	10	30	10	10	190	210	126	10	10	10	200	313	149	10	10	10	10	88	320	17	10	22	10	532	277	10	10	264	10	10	26	10	439	10	10	14	10	10	10	10	10
"34937_at"	10	120	10	10	47	50	159	102	117	195	25	106	75	24	27	217	10	19	190	381	172	142	87	20	225	177	255	103	18	117	32	12	27	136	10	223	10	10	10	92	199	190	38	602	10	10	10	10	10	10	102	31	10	10	10	10	10	10	10	10	10	13	10	10	10	10	10	10	10	10	10	210
"34950_at"	3664.6	2481	715	1280	1148	2024	2002	1461	619	1518	1912	795	386	10	1291	1522	172	1066	633	654	602	432	1486	799	635	10	165	10	680	445	10	57	76	45	10	136	80	229	117	10	10	551	10	1327	10	10	10	10	10	10	10	10	10	10	32	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"34959_at"	38.9	29	10	10	10	164	10	193	10	147	10	10	107	21	10	10	10	10	10	101	10	282	36	10	10	534	30	10	10	10	10	10	10	10	141	10	10	10	22	10	10	10	194	10	10	455	10	10	10	10	317	10	10	10	10	10	10	1333	10	10	10	10	127	10	232	10	10	141	749	584	203	10
"34960_g_at"	10	415	10	10	10	442	10	554	10	1092	202	90	180	10	10	10	10	10	10	205	10	438	10	126	33	3414	10	602	337	10	10	378	185	10	360	10	10	267	10	10	185	10	1830	10	10	1763	10	10	517	10	675	6032	10	10	67	10	10	4249	10	10	10	11	423	10	451	10	52	10	3001	4774	291	10
"34990_at"	610.9	710	168	7586	858	2799	899	1075	1339	1308	577	4400	777	10	973	1997	289	76	8742	804	502	518	620	140	10	44	10	10	10	10	10	10	10	10	14	10	10	45	10	10	10	50	942	10	10	40	10	10	10	222	10	10	10	10	10	10	321	94	96	164	17	10	10	10	10	10	10	26	55	13	74	10
"35000_at"	10	39	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1018	10	10	10	10	696	1058	10	10	10	205	10	10	296	242	10	10	10	10	10	10	10	10	10	10	10	388	10	10	10	531	10	10	10	10	10	10	996	10	10	10	10	558	10	10	10	10	172	10	10	10	10	10
"35002_g_at"	134	90	124	10	34	10	10	10	10	10	55	58	10	10	10	10	124	10	100	10	129	13	90	123	134	10	13	10	470	21	10	36	10	10	10	10	10	10	484	10	119	10	10	10	194	10	164	10	10	211	10	10	157	10	10	125	507	160	10	178	545	555	454	177	84	503	384	375	10	10	10	10
"35381_at"	10	10	10	10	801	10	10	10	10	10	583	65	378	10	10	117	10	10	10	10	10	871	554	10	10	10	703	10	10	10	10	10	230	10	10	321	10	10	10	10	10	10	335	903	10	10	10	10	10	10	10	10	10	10	188	150	10	10	10	10	10	921	10	10	1085	10	210	176	629	1540	10	10
"35388_at"	114.2	153	329	10	10	53	10	10	10	483	90	10	10	132	10	106	460	328	10	30	10	333	91	181	51	193	287	208	175	92	13	75	10	10	10	10	262	178	10	83	422	356	484	211	10	10	10	10	10	10	10	204	10	10	10	17	10	135	10	10	10	370	54	10	21	10	10	10	10	10	104	85
"35401_s_at"	10	10	10	10	1232	60	89	10	10	263	10	10	10	10	10	10	10	10	10	2654	10	10	10	38	1229	512	1550	662	10	569	10	1143	2090	10	10	10	2143	81	10	669	10	743	10	343	10	10	10	10	10	10	10	160	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	380	10	10	10
"35426_at"	10	10	10	10	1734	10	10	10	10	286	10	10	10	10	10	101	868	260	10	471	601	10	10	470	10	10	10	166	10	10	442	236	10	10	207	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	781	10	48	10	10	10	504	10	10	10	818	10	480	10	10	10	10	10	1003	57
"35481_at"	178.7	31	463	10	269	10	217	27	142	10	10	10	116	74	10	10	10	10	10	276	10	10	163	10	24	10	10	44	10	10	49	333	10	10	219	147	10	10	104	212	409	10	50	10	46	10	423	10	10	86	10	161	10	10	27	10	236	10	30	198	220	10	180	16	10	110	180	493	212	10	10	10
"35484_at"	24.7	10	1332	10	10	10	121	111	10	137	10	366	1545	10	295	10	10	10	10	10	189	1602	692	10	300	624	10	10	113	578	10	10	556	10	10	10	10	10	10	10	10	10	10	10	10	267	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"35879_at"	60.3	50	17	10	144	10	191	409	63	10	93	10	10	81	10	10	10	109	310	94	10	11	10	10	10	10	10	10	10	10	10	48	10	108	298	65	70	10	10	10	147	94	41	108	10	14	13	1769	89	10	191	33	130	39	62	80	30	111	10	99	10	10	10	10	116	10	236	251	10	10	18	10
"35885_at"	395.1	10	167	12	895	391	10	10	15	15	725	10	10	10	10	824	220	179	597	10	265	18	499	173	10	21	387	380	46	144	295	174	98	10	10	479	10	257	353	10	10	10	1157	606	10	42	346	51	10	10	10	25	10	10	10	10	46	100	117	10	10	162	329	10	55	10	10	79	10	10	10	10
"35893_s_at"	10	10	70	10	21	10	10	24	10	174	10	10	26	10	10	10	10	10	10	13	10	98	10	10	21	10	14	10	10	10	10	65	20	114	10	10	10	10	10	10	640	10	78	84	210	174	97	221	10	24	779	105	129	201	26	278	10	76	10	10	10	10	198	707	47	27	82	205	179	213	10	159
"35909_at"	10	10	10	10	10	10	10	118	31	10	10	10	10	10	10	10	244	10	10	10	10	10	10	10	27	145	10	10	65	10	10	38	10	150	240	10	10	207	10	10	10	10	49	236	10	228	10	10	10	108	19	10	528	10	10	164	10	1120	10	10	614	10	1861	1132	10	1816	735	10	10	10	10	19
"35918_at"	19.1	33	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	41	10	10	10	10	18	91	10	10	22	488	321	10	10	10	10	10	10	10	10	10	10	10	10	10	10	14	2193	10	203	1552	10	512	10	1542	426	361	1053	107	10	10	10	10	10	10	715	10	10	10	10	2470	57	1954	2349	2935
"35919_at"	10	10	10	10	121	10	31	26	85	42	754	358	368	81	10	10	10	121	152	43	352	16	60	10	51	56	10	10	568	27	944	46	10	118	20	143	10	10	430	10	44	211	98	27	63	150	10	10	10	10	10	74	10	19	12	995	178	10	10	65	10	10	19	10	10	143	403	52	45	134	40	10
"35920_at"	10	10	10	10	10	148	10	424	10	10	10	10	10	10	10	10	10	10	10	10	1082	10	10	10	10	10	39	10	10	10	10	10	31	10	171	10	10	280	10	10	10	10	10	10	412	123	10	10	10	10	10	10	2080	215	10	241	10	10	1660	10	10	10	113	10	397	40	10	2721	10	10	10	10
"35923_at"	10	10	10	10	10	268	10	962	10	952	10	10	10	814	271	353	794	375	543	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	76	808	973	484	10	10	1250	10	929	10	10	10	10	604	10	10	640	546	604	10	1055	10	10	1022	1493	1517	977	10	1318	1256	563	61	10	10	10	10	171	1085
"35940_at"	1527.1	344	10	2298	312	905	4194	6430	41	820	796	1908	657	3868	10	10	51	10	11462	5003	10	10	2293	248	10	375	241	10	10	10	10	46	10	107	50	145	10	10	49	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	87	10	10	28	244	10	44	32	10	10	10	10	11601
"35948_at"	116	10	10	135	177	10	10	35	10	355	10	10	10	10	10	10	10	48	83	10	168	10	197	103	272	10	146	10	10	10	10	353	88	49	10	10	10	10	10	466	10	142	141	149	10	10	10	10	10	10	10	10	15	324	193	157	381	27	10	193	10	10	10	10	214	10	10	10	14	10	10	108
"35949_at"	55.8	10	10	282	203	115	108	52	135	309	45	433	10	298	10	316	10	394	357	108	32	71	79	18	19	10	10	70	10	10	55	17	10	625	10	128	10	98	210	10	62	3209	112	61	34	23	10	10	10	10	10	57	120	39	49	10	10	10	10	57	10	10	15	10	80	95	10	10	10	35	137	10
"35951_at"	381	281	10	41	12	10	292	10	20	23	722	170	10	1204	10	10	42	47	10	10	103	241	733	219	97	195	125	10	10	10	71	86	216	54	10	10	10	10	74	91	10	10	10	10	222	31	10	10	10	10	10	67	105	10	10	135	68	10	10	88	10	10	10	10	13	10	10	10	10	164	10	10
"35965_at"	96.3	10	10	10	10	10	10	10	10	180	10	10	28	10	10	10	10	10	10	10	298	10	10	10	10	750	10	104	259	10	10	1811	10753	16000	10	10	10	15885	10	10	541	31	2603	10	10	10	250	10	10	10	10	29	10	10	10	719	10	407	73	10	10	10	10	357	393	10	10	10	6152	10	10	10
"35971_at"	10	197	10	10	222	84	90	10	10	10	10	10	10	96	43	10	17	10	39	135	79	97	163	10	10	10	137	27	10	10	10	58	10	160	10	255	10	10	10	268	307	201	147	10	10	206	145	93	114	91	60	10	24	10	10	10	14	10	10	94	10	141	311	165	45	10	174	10	10	10	115	42
"36213_at"	24	969	58	215	10	1754	1471	982	1226	313	10	428	10	4162	1134	720	10	983	930	10	154	10	51	326	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"36229_at"	10	10	10	1317	10	10	10	10	10	1214	571	1120	1457	10	10	10	10	10	1782	723	10	158	318	10	726	3287	2832	807	793	1368	4638	10	1312	3347	10	10	1046	10	2162	1766	11385	2773	1439	1523	35	2948	4690	969	10	10	3647	331	10	10	10	1439	10	1689	10	10	316	1012	1480	5181	150	720	3198	10	3746	10	1068	10
"36236_at"	10	431	10	10	245	132	115	94	10	10	59	10	19	76	288	10	168	12	10	43	10	10	132	71	120	19	98	185	11	10	76	170	114	10	10	179	183	10	10	10	10	19	10	10	49	101	10	75	10	291	147	24	80	134	346	10	169	10	10	172	10	10	160	10	10	244	10	46	18	10	10	10
"36238_at"	10	161	283	1107	10	1806	226	10	965	10	886	1922	989	10	10	10	10	1473	1934	1250	411	13	10	10	483	63	1236	10	707	354	10	10	1269	10	209	10	10	2141	10	10	10	821	10	1268	327	650	10	10	1296	952	10	665	112	10	10	93	10	10	10	10	1308	10	10	10	675	682	10	1770	11	10	264	1443
"36239_at"	10358	10999	2006	3542	2363	8181	8134	5714	2208	2008	9155	3198	2578	6084	2451	2992	2713	5150	2125	2220	1798	2705	7600	4509	1032	87	1065	636	520	885	265	600	580	223	423	1141	1587	2171	299	631	28	603	1033	2194	13	194	205	10	183	10	123	31	76	10	1025	44	10	85	10	30	10	10	45	10	53	10	96	10	151	10	79	10
"36248_at"	10	566	10	10	873	359	122	460	10	406	630	480	469	1326	10	223	10	154	471	565	10	10	703	290	10	72	517	10	253	10	638	10	10	771	10	399	10	10	417	564	10	471	147	779	10	10	10	10	10	96	10	10	80	10	10	10	10	10	10	10	10	581	10	10	10	10	106	290	200	242	10	10
"36253_at"	111.4	326	10	10	10	58	108	10	59	10	139	10	10	57	10	54	10	129	11	41	69	158	56	19	102	3250	10	10	10	124	37	444	172	42	89	10	28	10	10	10	10	10	1338	111	10	10	85	10	10	10	10	10	123	390	10	10	10	36	10	1959	10	10	10	10	10	10	10	10	415	844	10	10
"36264_at"	10	10	10	10	290	10	10	10	10	10	10	10	10	10	10	20	1098	10	10	10	10	10	10	10	1534	933	10	10	187	895	10	10	659	10	75	10	793	10	646	686	10	10	10	10	10	10	2537	986	206	10	10	10	402	10	10	10	10	10	10	10	10	932	10	10	10	10	10	10	10	10	10	10
"36267_at"	10	83	10	10	10	10	499	132	10	10	10	10	253	10	10	10	10	10	497	580	10	10	10	10	546	181	10	611	10	86	10	10	10	10	10	10	10	10	146	891	1591	10	464	10	384	10	314	10	10	10	289	10	83	926	79	10	805	10	1272	92	381	10	429	10	10	73	1801	447	135	10	10	10
